mp,sim,full_name,member
15840,0.7103534436,Куніцин Сергій,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
18085,0.7103078518,Добродомов Дмитро,Позафракційні
11620,0.7102596922,Присяжнюк Олександр,"Фракція Політичної партії "НАРОДНИЙ ФРОНТ"
18007,0.7082552022,Бабак Альона,"Фракція Політичної партії "Об'єднання "САМОПОМІЧ"
18020,0.7067910611,Сидорович Руслан,"Фракція Політичної партії "Об'єднання "САМОПОМІЧ"
2314,0.7067581325,Король Віктор,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
8238,0.7043274137,Голуб Владислав,Позафракційні
18009,0.7043174179,Данченко Олександр,"Фракція Політичної партії "Об'єднання "САМОПОМІЧ"
1351,0.7036877316,Кириленко Іван,"Фракція політичної партії "Всеукраїнське об'єднання "Батьківщина" у Верховній Раді України"
17964,0.6996752429,Ванат Петро,"Фракція Політичної партії "НАРОДНИЙ ФРОНТ"
18152,0.6995331865,Яриніч Костянтин,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
18125,0.6993815372,Пастух Тарас,Позафракційні
18043,0.6989539178,Вітко Артем,Фракція Радикальної партії Олега Ляшка
5486,0.6983221315,Тарасюк Борис,"Фракція політичної партії "Всеукраїнське об'єднання "Батьківщина" у Верховній Раді України"
18011,0.6978098695,Лаврик Олег,"Фракція Політичної партії "Об'єднання "САМОПОМІЧ"
18017,0.6976758078,Діденко Ігор,"Фракція Політичної партії "Об'єднання "САМОПОМІЧ"
18008,0.6958497294,Веселова Наталія,Позафракційні
18050,0.6953141083,Купрієнко Олег,Фракція Радикальної партії Олега Ляшка
2340,0.6946113379,Чубаров Рефат,Позафракційні
18165,0.6902874653,Корчинська Оксана,Фракція Радикальної партії Олега Ляшка
17977,0.6897420128,Лещенко Сергій,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
18004,0.687106506,Скрипник Олексій,"Фракція Політичної партії "Об'єднання "САМОПОМІЧ"
18119,0.6862061503,Матківський Богдан,Позафракційні
18042,0.686048368,Попов Ігор,Фракція Радикальної партії Олега Ляшка
17953,0.6858116025,Матейченко Костянтин,"Фракція Політичної партії "НАРОДНИЙ ФРОНТ"
12290,0.6815588472,Амельченко Василь,Фракція Радикальної партії Олега Ляшка
18018,0.6811020029,Острікова Тетяна,"Фракція Політичної партії "Об'єднання "САМОПОМІЧ"
3180,0.6802140235,Сироїд Оксана,Позафракційні
11999,0.6799182823,Суслова Ірина,Позафракційні
11166,0.6796187549,Кондратюк Олена,"Фракція політичної партії "Всеукраїнське об'єднання "Батьківщина" у Верховній Раді України"
18079,0.6775263721,Давиденко Валерій,Позафракційні
